Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M-5400,H,302.8,312.4,1411,53.8,246
M-4193,M,302.5,311.0,1463,43.1,181
M-4443,L,302.5,310.2,1563,34.8,150
M-6716,L,301.3,310.6,1576,30.4,92
M-4511,L,302.4,310.2,1346,62.4,106
M-8354,L,298.7,309.6,1442,55.6,194
M-2694,M,300.1,309.6,1622,36.1,43
M-6752,M,301.7,311.0,1505,37.1,190
M-2427,M,298.9,308.2,1372,63.6,30
M-2579,L,299.4,309.3,1391,46.6,185
M-4186,L,302.2,310.6,1348,48.4,161
M-2167,M,299.6,309.2,1867,23.4,225
M-4332,M,301.6,309.9,1746,31.1,83
M-2880,M,300.6,309.4,1367,63.2,45
M-7644,H,300.4,311.4,1427,50.7,122
M-7885,L,300.8,312.4,1465,59.1,91
M-2965,L,300.7,309.5,1692,30.3,64
M-2332,L,299.3,308.6,1384,53.6,218
M-2071,L,299.7,309.5,1352,49.7,184
M-8893,L,297.6,308.8,1475,43.0,119
