Machine ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_L,Type_M,stage1_failure_probability,stage1_flagged,predicted_failure_types,stage2_confidence,shap_magnitude,priority_score,priority_rank
M-2427,298.9,308.2,1372,63.6,30,0,1,0.9955279,1,PWF,0.9871265292167664,41.639732837677,0.7652336205254621,1
M-4511,302.4,310.2,1346,62.4,106,1,0,0.9999051,1,HDF,0.9988861680030823,38.442084550857544,0.7634141741094325,2
M-2332,299.3,308.6,1384,53.6,218,1,0,0.9988362,1,OSF,0.9966830611228943,38.31075859069824,0.7182623066844023,3
M-4186,302.2,310.6,1348,48.4,161,1,0,0.9985784,1,HDF,0.996729850769043,37.292343616485596,0.6570262687425732,4
M-2880,300.6,309.4,1367,63.2,45,0,1,0.9972187,1,PWF,0.9795818328857422,38.88380432128906,0.5954041659151973,5
M-5400,302.8,312.4,1411,53.8,246,0,0,0.98079246,1,OSF,0.9950239658355713,42.731542110443115,0.5727603684246663,6
M-2167,299.6,309.2,1867,23.4,225,0,1,0.994156,1,TWF,0.9563503265380859,42.29258108139038,0.5554685561280042,7
M-4193,302.5,311.0,1463,43.1,181,0,1,6.6831935e-06,0,n/a (not flagged),,,,8
M-4443,302.5,310.2,1563,34.8,150,1,0,8.423628e-05,0,n/a (not flagged),,,,9
M-6716,301.3,310.6,1576,30.4,92,1,0,1.5995302e-05,0,n/a (not flagged),,,,10
M-8354,298.7,309.6,1442,55.6,194,1,0,0.0226788,0,n/a (not flagged),,,,11
M-2694,300.1,309.6,1622,36.1,43,0,1,1.0711056e-05,0,n/a (not flagged),,,,12
M-6752,301.7,311.0,1505,37.1,190,0,1,6.7309106e-06,0,n/a (not flagged),,,,13
M-2579,299.4,309.3,1391,46.6,185,1,0,8.204355e-05,0,n/a (not flagged),,,,14
M-4332,301.6,309.9,1746,31.1,83,0,1,0.00021737067,0,n/a (not flagged),,,,15
M-7644,300.4,311.4,1427,50.7,122,0,0,2.0983258e-05,0,n/a (not flagged),,,,16
M-7885,300.8,312.4,1465,59.1,91,1,0,0.043897994,0,n/a (not flagged),,,,17
M-2965,300.7,309.5,1692,30.3,64,1,0,0.00010119438,0,n/a (not flagged),,,,18
M-2071,299.7,309.5,1352,49.7,184,1,0,3.483718e-05,0,n/a (not flagged),,,,19
M-8893,297.6,308.8,1475,43.0,119,1,0,9.295899e-06,0,n/a (not flagged),,,,20
