Model,Metric,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean CV Score,Standard Deviation
XGBoost,Accuracy,0.975,0.976875,0.974375,0.976875,0.975,0.975625,0.0010458250331676251
XGBoost,Precision,0.6129032258064516,0.6268656716417911,0.5970149253731343,0.6349206349206349,0.6153846153846154,0.6174178146253254,0.012933708066031004
XGBoost,Recall,0.7037037037037037,0.7777777777777778,0.7407407407407407,0.7407407407407407,0.7272727272727273,0.7380471380471381,0.024035782218955883
XGBoost,F1-Score,0.6551724137931034,0.6942148760330579,0.6611570247933884,0.6837606837606838,0.6666666666666666,0.67219433300938,0.014565766621887364
KNN,Accuracy,0.935625,0.93625,0.938125,0.93625,0.93875,0.9369999999999999,0.0012119199643540563
KNN,Precision,0.31297709923664124,0.3064516129032258,0.30434782608695654,0.3153846153846154,0.30973451327433627,0.309779133377155,0.004055166988249879
KNN,Recall,0.7592592592592593,0.7037037037037037,0.6481481481481481,0.7592592592592593,0.6363636363636364,0.7013468013468013,0.052471266394140355
KNN,F1-Score,0.44324324324324327,0.42696629213483145,0.41420118343195267,0.44565217391304346,0.4166666666666667,0.42934591187794746,0.013075309935803322
Logistic Regression,Accuracy,0.9,0.9025,0.905,0.915,0.90625,0.90575,0.0050990195135927965
Logistic Regression,Precision,0.20555555555555555,0.18902439024390244,0.20481927710843373,0.24375,0.20125786163522014,0.20888141690862239,0.01841629997185332
Logistic Regression,Recall,0.6851851851851852,0.5740740740740741,0.6296296296296297,0.7222222222222222,0.5818181818181818,0.6385858585858586,0.0576733769870215
Logistic Regression,F1-Score,0.3162393162393162,0.28440366972477066,0.3090909090909091,0.3644859813084112,0.29906542056074764,0.31465705938483096,0.027110049107511604
Random Forest,Accuracy,0.966875,0.966875,0.968125,0.969375,0.965625,0.967375,0.0012747548783981996
Random Forest,Precision,0.5070422535211268,0.5063291139240507,0.52,0.5352112676056338,0.5,0.5137165270101622,0.012560006512836184
Random Forest,Recall,0.6666666666666666,0.7407407407407407,0.7222222222222222,0.7037037037037037,0.6545454545454545,0.6975757575757576,0.03260427761707311
Random Forest,F1-Score,0.576,0.6015037593984962,0.6046511627906976,0.608,0.5669291338582677,0.5914168112094923,0.016668660089707438
